"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_prowler_shaman_pleased_04"	"This is most fortunate."
"DCG_VO_prowler_shaman_pleased_05"	"I'm relieved."
"DCG_VO_prowler_shaman_pleased_06"	"I knew we could pull this off."
"DCG_VO_prowler_shaman_pleased_07"	"It's almost over."
"DCG_VO_prowler_shaman_pleased_08"	"How fortunate."
"DCG_VO_prowler_shaman_pleased_09"	"I told you to have faith."
"DCG_VO_prowler_shaman_pleased_10"	"What could stop us now?"
"DCG_VO_prowler_shaman_concerned_01"	"Troubling..."
"DCG_VO_prowler_shaman_concerned_02"	"This is a problem."
"DCG_VO_prowler_shaman_concerned_03"	"I need to find a way to fix this."
"DCG_VO_prowler_shaman_concerned_04"	"I can't stand idly by."
"DCG_VO_prowler_shaman_concerned_05"	"I need to think fast..."
"DCG_VO_prowler_shaman_concerned_06"	"There has to be a solution."
"DCG_VO_prowler_shaman_concerned_07"	"If I don’t find a solution we're all dead."
"DCG_VO_prowler_shaman_concerned_08"	"Time is running out"
"DCG_VO_prowler_shaman_concerned_09"	"This is every leader's nightmare..."
"DCG_VO_prowler_shaman_concerned_10"	"I won't lose hope."
"DCG_VO_prowler_shaman_angry_01"	"How dare you!"
"DCG_VO_prowler_shaman_angry_02"	"You will answer for this!"
"DCG_VO_prowler_shaman_angry_03"	"You won't leave here alive!"
"DCG_VO_prowler_shaman_angry_04"	"I'll rip you in half!"
"DCG_VO_prowler_shaman_angry_05"	"I won't allow this farce to continue!"
"DCG_VO_prowler_shaman_angry_06"	"This ends now!"
"DCG_VO_prowler_shaman_angry_07"	"Show me what you're made of!"
"DCG_VO_prowler_shaman_angry_08"	"You're in over your head."
"DCG_VO_prowler_shaman_angry_09"	"You overstepped."
"DCG_VO_prowler_shaman_angry_10"	"What chance do you have against someone like me?"
"DCG_VO_prowler_shaman_arrogant_01"	"I am what the jungle fears..."
"DCG_VO_prowler_shaman_arrogant_02"	"I am first among my people"
"DCG_VO_prowler_shaman_arrogant_03"	"There is a reason why my people turn to me for leadership..."
"DCG_VO_prowler_shaman_arrogant_04"	"Surrender and save us all some time."
"DCG_VO_prowler_shaman_arrogant_05"	"You're outmatched."
"DCG_VO_prowler_shaman_arrogant_06"	"Clearly you weren't prepared for this fight."
"DCG_VO_prowler_shaman_arrogant_07"	"I was expecting more from you..."
"DCG_VO_prowler_shaman_arrogant_08"	"You aren't worthy to face me..."
"DCG_VO_prowler_shaman_arrogant_09"	"You thought you could beat me? Please..."
"DCG_VO_prowler_shaman_arrogant_10"	"Show me a worthy opponent..."
"DCG_VO_prowler_shaman_enigmatic_01"	"I'll buy us time."
"DCG_VO_prowler_shaman_enigmatic_02"	"I do what I must."
"DCG_VO_prowler_shaman_enigmatic_03"	"The forest protects its own."
"DCG_VO_prowler_shaman_enigmatic_04"	"There is much power in belief."
"DCG_VO_prowler_shaman_enigmatic_05"	"The gods smile on this place."
"DCG_VO_prowler_shaman_enigmatic_06"	"We are blessed indeed."
"DCG_VO_prowler_shaman_enigmatic_07"	"This is a dangerous place for outsiders."
"DCG_VO_prowler_shaman_enigmatic_08"	"The jungle contains many mysteries..."
"DCG_VO_prowler_shaman_enigmatic_09"	"This can change the tide..."
"DCG_VO_prowler_shaman_enigmatic_10"	"I'm used to being under estimated."
"DCG_VO_prowler_shaman_death_01"	"<i>screams</i>"
"DCG_VO_kobold_saboteur_intro"	"Ever since I heard about the Jasper Circle I wanted to be apart of it, but a group like that... you don't ask to join, you have to be approached... which means you need to make a name for yourself. Six months I shadowed Sunbreeze. Six months of watching that stupid fairy do stupid merchant fairy things. Finally I had a plan. Then the Veiled Sisterhood went and assassinated Kwerthias which ruined everything. Sure I could have killed Sunbreeze, but then people would have given the Sisterhood the credit, so I just said to hell with it and scrapped everything."
"DCG_VO_kobold_saboteur_no_accident"	"Sometimes I get bored. That's usually when I push someone to their death."
"DCG_VO_kobold_saboteur_equip_generic_weapon_01"	"Ready to get to work."
"DCG_VO_kobold_saboteur_equip_generic_weapon_02"	"Let's kill someone..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_03"	"Oh yeah, this'll kill someone..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_04"	"Let me show ya what I can do..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_05"	"I'll make the Jasper Circle take notice..."
"DCG_VO_kobold_saboteur_equip_generic_armor_01"	"Can't get paid if you're dead..."
"DCG_VO_kobold_saboteur_equip_generic_armor_02"	"Need to stay safe..."
"DCG_VO_kobold_saboteur_equip_generic_armor_03"	"I made a lot of enemies..."
"DCG_VO_kobold_saboteur_equip_generic_armor_04"	"It's a dangerous place out there..."
"DCG_VO_kobold_saboteur_equip_generic_armor_05"	"I'm always ready for someone to come at me...."
"DCG_VO_kobold_saboteur_equip_generic_accessory_01"	"Great."
"DCG_VO_kobold_saboteur_equip_generic_accessory_02"	"This will come in handy..."
"DCG_VO_kobold_saboteur_equip_generic_accessory_03"	"I make this work..."
"DCG_VO_kobold_saboteur_equip_generic_accessory_04"	"This'll help with the job."
"DCG_VO_kobold_saboteur_equip_generic_accessory_05"	"Thanks."
"DCG_VO_kobold_saboteur_kill_rival_01"	"It was over before it began..."
"DCG_VO_kobold_saboteur_kill_rival_02"	"I'm a professional..."
"DCG_VO_kobold_saboteur_kill_rival_03"	"I love working the knife..."
"DCG_VO_kobold_saboteur_kill_rival_04"	"Gets easier every time..."
"DCG_VO_kobold_saboteur_kill_rival_05"	"I could do this all day..."
"DCG_VO_kobold_saboteur_kill_rival_06"	"It's been a good day..."
"DCG_VO_kobold_saboteur_kill_rival_07"	"Sorry friend..."
"DCG_VO_kobold_saboteur_kill_rival_08"	"Shhhhh."
"DCG_VO_kobold_saboteur_kill_rival_09"	"At least it was quick."
"DCG_VO_kobold_saboteur_kill_rival_10"	"I've killed better..."
"DCG_VO_kobold_saboteur_use_include_01"	"Whoops."
"DCG_VO_kobold_saboteur_use_include_02"	"I didn’t see you there..."
"DCG_VO_kobold_saboteur_use_include_03"	"You won't feel a thing."
"DCG_VO_kobold_saboteur_unique_01"	"I'm gonna kill you and make a name for myself..."
"DCG_VO_kobold_saboteur_unique_02"	"Axe... you're.... A lot bigger than I expected..."
"DCG_VO_kobold_saboteur_unique_03"	"Can I borrow that gun sometime Sniper?"
"DCG_VO_kobold_saboteur_unique_04"	"Look, I know I'm not a Keenfolk, but I'm short. Does that count for something?"
"DCG_VO_kobold_saboteur_unique_05"	"Hey Tinker, you buy me a drink I'll slit Mazzie's throat for ya..."
"DCG_VO_kobold_saboteur_unique_06"	"I've waited for this moment for so long..."
"DCG_VO_kobold_saboteur_unique_07"	"Hey Axe, lets be friends. I totally promise not to try to kill you while you sleep."
"DCG_VO_kobold_saboteur_unique_08"	"Sorla, you're a lady who knows how to get things done, I'll give you that."
"DCG_VO_kobold_saboteur_unique_09"	"Good help is hard to find."
"DCG_VO_kobold_saboteur_unique_10"	"I know these guys, they're great when they decide to actually work."
"DCG_VO_kobold_saboteur_unique_11"	"You stole Kwerthias from me!"
"DCG_VO_kobold_saboteur_unique_12"	"I was supposed to kill Kwerthias!"
"DCG_VO_kobold_saboteur_unique_12_alt"	"Sunbreeze is alive because of you!"
"DCG_VO_kobold_saboteur_unique_13"	"I guess I'll have to make my mark by killing you..."
"DCG_VO_kobold_saboteur_unique_14"	"How was the Revtel job?"
"DCG_VO_kobold_saboteur_unique_15"	"Tell ya what, help me kill Axe and I'll make sure Goodkind is all yours..."
"DCG_VO_kobold_saboteur_unique_16"	"Now I get why the sisters wear these all the time..."
"DCG_VO_kobold_saboteur_unique_17"	"It's an honor to get to kill people with you ladies."
"DCG_VO_kobold_saboteur_unique_18"	"I love ladies night...."
"DCG_VO_kobold_saboteur_unique_19"	"They're making this too easy..."
"DCG_VO_kobold_saboteur_unique_20"	"They're basically letting us destroy this thing..."
"DCG_VO_kobold_saboteur_healed_01"	"Ahhhhh."
"DCG_VO_kobold_saboteur_healed_02"	"I feel better."
"DCG_VO_kobold_saboteur_healed_03"	"Ready to slit some throats..."
"DCG_VO_kobold_saboteur_healed_04"	"Time to do some dirt."
"DCG_VO_kobold_saboteur_healed_05"	"Way to look after the talent..."
"DCG_VO_kobold_saboteur_taunt_generic_01"	"I love this part..."
"DCG_VO_kobold_saboteur_taunt_generic_02"	"These people aren't going to kill themselves..."
"DCG_VO_kobold_saboteur_taunt_generic_03"	"We can take the tower!"
"DCG_VO_kobold_saboteur_taunt_generic_04"	"We'll kill anyone that gets in our way!"
"DCG_VO_kobold_saboteur_taunt_generic_05"	"This is our moment!"
"DCG_VO_kobold_saboteur_taunt_generic_06"	"We won't waste this opportunity!"
"DCG_VO_kobold_saboteur_taunt_generic_07"	"We take what we want..."
"DCG_VO_kobold_saboteur_taunt_generic_08"	"Victory is near!"
"DCG_VO_kobold_saboteur_taunt_generic_09"	"We can win!"
"DCG_VO_kobold_saboteur_taunt_generic_10"	"Destroy everything!"
"DCG_VO_kobold_saboteur_potential_kill_01"	"You're mine."
"DCG_VO_kobold_saboteur_potential_kill_02"	"Nowhere to run."
"DCG_VO_kobold_saboteur_potential_kill_03"	"You're a dead man."
"DCG_VO_kobold_saboteur_potential_kill_04"	"Hahahahaha."
"DCG_VO_kobold_saboteur_potential_kill_05"	"Too easy."
"DCG_VO_kobold_saboteur_potential_save_01"	"It's not gonna be that easy...."
"DCG_VO_kobold_saboteur_potential_save_02"	"I'm craftier than you think..."
"DCG_VO_kobold_saboteur_potential_save_03"	"I was ready for this..."
"DCG_VO_kobold_saboteur_potential_save_04"	"I always have an escape plan..."
"DCG_VO_kobold_saboteur_potential_save_05"	"Close, and yet so far..."
"DCG_VO_kobold_saboteur_permanent_armor_01"	"This is gonna be a tough job."
"DCG_VO_kobold_saboteur_permanent_armor_02"	"This could get messy..."
"DCG_VO_kobold_saboteur_permanent_armor_03"	"I need to look after number one."
"DCG_VO_kobold_saboteur_permanent_armor_04"	"I need to stay alive."
"DCG_VO_kobold_saboteur_permanent_armor_05"	"There's always someone lookin' to kill me..."
"DCG_VO_kobold_saboteur_permanent_attack_01"	"Time to sharpen the knife collection..."
"DCG_VO_kobold_saboteur_permanent_attack_02"	"Practice makes perfect..."
"DCG_VO_kobold_saboteur_permanent_attack_03"	"Those anatomy books have really paid off..."
"DCG_VO_kobold_saboteur_permanent_attack_04"	"I'll find their soft spot..."
"DCG_VO_kobold_saboteur_permanent_attack_05"	"I can't wait to cut somebody..."
"DCG_VO_kobold_saboteur_permanent_health_01"	"I wont let them kick me around..."
"DCG_VO_kobold_saboteur_permanent_health_02"	"I feel tougher..."
"DCG_VO_kobold_saboteur_permanent_health_03"	"I can take some punishment..."
"DCG_VO_kobold_saboteur_permanent_health_04"	"I've been a few fights..."
"DCG_VO_kobold_saboteur_permanent_health_05"	"I'm not dyin here!"
"DCG_VO_kobold_saboteur_cast_spell_01"	"I love this part."
"DCG_VO_kobold_saboteur_cast_spell_02"	"God I love my job."
"DCG_VO_kobold_saboteur_cast_spell_03"	"This never gets old."
"DCG_VO_kobold_saboteur_cast_spell_04"	"You should see the look on your face."
"DCG_VO_kobold_saboteur_cast_spell_05"	"Did you see this coming?"
"DCG_VO_kobold_saboteur_cast_spell_06"	"You weren't ready for me..."
"DCG_VO_kobold_saboteur_cast_spell_07"	"Here's a little something special I was working on..."
"DCG_VO_kobold_saboteur_cast_spell_08"	"I love nasty surprises...."
"DCG_VO_kobold_saboteur_cast_spell_09"	"Gotta plan ahead..."
"DCG_VO_kobold_saboteur_cast_spell_10"	"Its good to have friends in Revtel..."
"DCG_VO_kobold_saboteur_buff_ally_01"	"Here!"
"DCG_VO_kobold_saboteur_buff_ally_02"	"Follow my lead."
"DCG_VO_kobold_saboteur_buff_ally_03"	"Let's get to work..."
"DCG_VO_kobold_saboteur_buff_ally_04"	"Ready to kill some people?"
"DCG_VO_kobold_saboteur_buff_ally_05"	"I'm gonna need your help."
"DCG_VO_kobold_saboteur_buff_ally_06"	"Watch my back, and I'll watch yours."
"DCG_VO_kobold_saboteur_buff_ally_07"	"Nice back. I promise not to stab it."
"DCG_VO_kobold_saboteur_buff_ally_08"	"So this is what having friends feels like..."
"DCG_VO_kobold_saboteur_buff_ally_09"	"Here you go!"
"DCG_VO_kobold_saboteur_buff_ally_10"	"You look like you could use this."
"DCG_VO_kobold_saboteur_debuff_enemy_01"	"First I soften you up..."
"DCG_VO_kobold_saboteur_debuff_enemy_02"	"I'm gonna take my time with you..."
"DCG_VO_kobold_saboteur_debuff_enemy_03"	"Don't worry, I'll kill you eventually..."
"DCG_VO_kobold_saboteur_debuff_enemy_04"	"Let's have some fun..."
"DCG_VO_kobold_saboteur_debuff_enemy_05"	"You didn't think you were surviving did you?"
"DCG_VO_kobold_saboteur_debuff_enemy_06"	"You die when I say so."
"DCG_VO_kobold_saboteur_debuff_enemy_07"	"I thought you were supposed to be tough..."
"DCG_VO_kobold_saboteur_debuff_enemy_08"	"So much talk. So much disappointment."
"DCG_VO_kobold_saboteur_debuff_enemy_09"	"I didn't think it would be this easy..."
"DCG_VO_kobold_saboteur_debuff_enemy_10"	"You're pathetic."
"DCG_VO_kobold_saboteur_single_target_damage_01"	"Time for shenanigans. And by shenanigans, I mean murder."
"DCG_VO_kobold_saboteur_single_target_damage_02"	"Watch a professional do her thing."
"DCG_VO_kobold_saboteur_single_target_damage_03"	"I hope the Jasper Circle was watching..."
"DCG_VO_kobold_saboteur_single_target_damage_04"	"Enjoy your red smile."
"DCG_VO_kobold_saboteur_single_target_damage_05"	"This won't take long."
"DCG_VO_kobold_saboteur_single_target_damage_06"	"Let me do my thing."
"DCG_VO_kobold_saboteur_single_target_damage_07"	"You're gonna bleed."
"DCG_VO_kobold_saboteur_single_target_damage_08"	"Time to die!"
"DCG_VO_kobold_saboteur_single_target_damage_09"	"I'm gonna killlll youuuuu..."
"DCG_VO_kobold_saboteur_single_target_damage_10"	"You'll barely feel a thing."
"DCG_VO_kobold_saboteur_multi_damage_small_01"	"Leave the bodies, take the gold..."
"DCG_VO_kobold_saboteur_multi_damage_small_02"	"You're all going to die..."
"DCG_VO_kobold_saboteur_multi_damage_small_03"	"I can take care of these guys."
"DCG_VO_kobold_saboteur_multi_damage_small_04"	"This might get messy."
"DCG_VO_kobold_saboteur_multi_damage_small_05"	"If I were you I'd run."
"DCG_VO_kobold_saboteur_multi_damage_small_06"	"Are you ready to play?"
"DCG_VO_kobold_saboteur_multi_damage_small_07"	"Who's ready to have some fun."
"DCG_VO_kobold_saboteur_multi_damage_small_08"	"Who wants to die first?"
"DCG_VO_kobold_saboteur_multi_damage_small_09"	"Don't worry, I have enough for everyone..."
"DCG_VO_kobold_saboteur_multi_damage_small_10"	"What girl doesn't love a good body count..."
"DCG_VO_kobold_saboteur_multi_damage_large_01"	"Boom."
"DCG_VO_kobold_saboteur_multi_damage_large_02"	"Bang!"
"DCG_VO_kobold_saboteur_multi_damage_large_03"	"You're all dead!"
"DCG_VO_kobold_saboteur_multi_damage_large_04"	"I'll kill you all!"
"DCG_VO_kobold_saboteur_multi_damage_large_05"	"This is just too perfect..."
"DCG_VO_kobold_saboteur_multi_damage_large_06"	"It doesn't get better than this..."
"DCG_VO_kobold_saboteur_multi_damage_large_07"	"Pardon the mess."
"DCG_VO_kobold_saboteur_multi_damage_large_08"	"I love wetwork."
"DCG_VO_kobold_saboteur_multi_damage_large_09"	"There's nowhere to hide!"
"DCG_VO_kobold_saboteur_multi_damage_large_10"	"You can't run from me!"
"DCG_VO_kobold_saboteur_pleased_01"	"Well this was a pleasant day..."
"DCG_VO_kobold_saboteur_pleased_02"	"Life is good."
"DCG_VO_kobold_saboteur_pleased_03"	"This is fun."
"DCG_VO_kobold_saboteur_pleased_04"	"I'm having a great time, are you having a great time?"
"DCG_VO_kobold_saboteur_pleased_05"	"This is goin' great..."
"DCG_VO_kobold_saboteur_pleased_06"	"The Jasper Circle should be swinging by any minute..."
"DCG_VO_kobold_saboteur_pleased_07"	"If this fight doesn't impress the Jasper Circle I don’t know what will."
"DCG_VO_kobold_saboteur_pleased_08"	"God I love money..."
"DCG_VO_kobold_saboteur_pleased_09"	"Let's make some money..."
"DCG_VO_kobold_saboteur_pleased_10"	"We need gold."
"DCG_VO_kobold_saboteur_concerned_01"	"This isn't what I thought would happen..."
"DCG_VO_kobold_saboteur_concerned_02"	"I'm feeling a little exposed here..."
"DCG_VO_kobold_saboteur_concerned_03"	"Uh... guys?"
"DCG_VO_kobold_saboteur_concerned_04"	"This isn't good."
"DCG_VO_kobold_saboteur_concerned_05"	"This is really bad."
"DCG_VO_kobold_saboteur_concerned_06"	"If I don't think quick I’m dead."
"DCG_VO_kobold_saboteur_concerned_07"	"They're gonna kill me."
"DCG_VO_kobold_saboteur_concerned_08"	"I can't get caught!"
"DCG_VO_kobold_saboteur_concerned_09"	"What do I do now?"
"DCG_VO_kobold_saboteur_concerned_10"	"How do I get out of this?"
"DCG_VO_kobold_saboteur_angry_01"	"You think I can't kill you?"
"DCG_VO_kobold_saboteur_angry_02"	"I'm going to enjoy watching you bleed."
"DCG_VO_kobold_saboteur_angry_03"	"You're gonna die here..."
"DCG_VO_kobold_saboteur_angry_04"	"They'll never find your body."
"DCG_VO_kobold_saboteur_angry_05"	"I'm not just going to kill you. I'm going to kill everyone you care about."
"DCG_VO_kobold_saboteur_angry_06"	"I don't have to kill you, you're going to destroy yourself."
"DCG_VO_kobold_saboteur_angry_07"	"I don't need a knife to kill you."
"DCG_VO_kobold_saboteur_angry_08"	"This is going to be painful."
"DCG_VO_kobold_saboteur_angry_09"	"You made a bad move."
"DCG_VO_kobold_saboteur_angry_10"	"Bye bye."
"DCG_VO_kobold_saboteur_arrogant_01"	"I'm better than all of you!"
"DCG_VO_kobold_saboteur_arrogant_02"	"I'll do whatever it takes..."
"DCG_VO_kobold_saboteur_arrogant_03"	"No price is too high to prove I'm the best."
"DCG_VO_kobold_saboteur_arrogant_04"	"Do you know what I can do you to?"
"DCG_VO_kobold_saboteur_arrogant_05"	"There's no one I can't kill."
"DCG_VO_kobold_saboteur_arrogant_06"	"Phantom Assassin is good. I'm just better."
"DCG_VO_kobold_saboteur_arrogant_07"	"I'll leave my mark."
"DCG_VO_kobold_saboteur_arrogant_08"	"People will remember my name."
"DCG_VO_kobold_saboteur_arrogant_09"	"I won't fade into obscurity,"
"DCG_VO_kobold_saboteur_arrogant_10"	"You want a demonstration of what I can do?"
"DCG_VO_kobold_saboteur_enigmatic_01"	"Lets play with some new toys..."
"DCG_VO_kobold_saboteur_enigmatic_02"	"Here's a little something I've been working on..."
"DCG_VO_kobold_saboteur_enigmatic_03"	"This should make my job a little easier..."
"DCG_VO_kobold_saboteur_enigmatic_04"	"A little help never hurts..."
"DCG_VO_kobold_saboteur_enigmatic_05"	"You always have to be ready for anything..."
"DCG_VO_kobold_saboteur_enigmatic_06"	"If you assume everyone is out to kill you, you never are disappointed..."
"DCG_VO_kobold_saboteur_enigmatic_07"	"They're gonna hate us."
"DCG_VO_kobold_saboteur_enigmatic_08"	"They won't know what hit 'em..."
"DCG_VO_kobold_saboteur_enigmatic_09"	"By the time they know what to do it'll be too late."
"DCG_VO_kobold_saboteur_enigmatic_10"	"I'll do anything to win."
"DCG_VO_kobold_saboteur_death_01"	"<i>screams</i>"
"DCG_VO_dark_troll_chieften_intro"	"The people I lead are small in number but vast in potential... and I will not see them slaughtered as the forest burns. The time has come for us to leave our ancestral home; and so I will lead my tribe to Weeping Rose... there our magicks will be celebrated, not feared."
"DCG_VO_dark_troll_chieften_battlefield_control"	"Sometimes the simplest of spells can be the most effective."
"DCG_VO_dark_troll_chieften_use_ability_01"	"The wisdom of my people..."
"DCG_VO_dark_troll_chieften_use_ability_02"	"I have foreseen what is to come..."
"DCG_VO_dark_troll_chieften_use_ability_03"	"I have knowledge of the future..."
"DCG_VO_dark_troll_chieften_use_ability_04"	"Let's see what the future holds..."
"DCG_VO_dark_troll_chieften_use_ability_05"	"I will consult my ancestors..."
