"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_prowler_shaman_debuff_enemy_03"	"Non sai cosa ti aspetta."
"DCG_VO_prowler_shaman_debuff_enemy_04"	"Questo luogo non fa per te."
"DCG_VO_prowler_shaman_debuff_enemy_05"	"Non è il posto giusto per te."
"DCG_VO_prowler_shaman_debuff_enemy_06"	"Persino il tuo corpo si sta ribellando."
"DCG_VO_prowler_shaman_debuff_enemy_07"	"Basta con i trucchetti."
"DCG_VO_prowler_shaman_debuff_enemy_08"	"Non sei abbastanza forte per sconfiggerci..."
"DCG_VO_prowler_shaman_debuff_enemy_09"	"Non sei così speciale."
"DCG_VO_prowler_shaman_debuff_enemy_10"	"Alla fine dovrai soccombere."
"DCG_VO_prowler_shaman_single_target_damage_01"	"Ti distruggerò."
"DCG_VO_prowler_shaman_single_target_damage_02"	"Non hai alcuna possibilità contro di me."
"DCG_VO_prowler_shaman_single_target_damage_03"	"Un altro nemico da fare a pezzi."
"DCG_VO_prowler_shaman_single_target_damage_04"	"Lasciali a me."
"DCG_VO_prowler_shaman_single_target_damage_05"	"Posso occuparmene io."
"DCG_VO_prowler_shaman_single_target_damage_06"	"Non ho paura di combattere."
"DCG_VO_prowler_shaman_single_target_damage_07"	"AFFRONTAMI!"
"DCG_VO_prowler_shaman_single_target_damage_08"	"Sono un esempio per tutti..."
"DCG_VO_prowler_shaman_single_target_damage_09"	"Non è la prima volta che combatto."
"DCG_VO_prowler_shaman_single_target_damage_10"	"Te la sei cercata."
"DCG_VO_prowler_shaman_multi_damage_small_01"	"Lascia a me questi idioti..."
"DCG_VO_prowler_shaman_multi_damage_small_02"	"Il vostro esercito non è abbastanza potente."
"DCG_VO_prowler_shaman_multi_damage_small_03"	"Il vostro esercito verrà massacrato."
"DCG_VO_prowler_shaman_multi_damage_small_04"	"Li schiaccerò sotto i miei zoccoli."
"DCG_VO_prowler_shaman_multi_damage_small_05"	"E questo sarebbe il vostro esercito?"
"DCG_VO_prowler_shaman_multi_damage_small_06"	"Quanti ancora ne devo uccidere..."
"DCG_VO_prowler_shaman_multi_damage_small_07"	"Arrendetevi!"
"DCG_VO_prowler_shaman_multi_damage_small_08"	"Porrò fine a questa follia..."
"DCG_VO_prowler_shaman_multi_damage_small_09"	"Non vincerete mai questa battaglia!"
"DCG_VO_prowler_shaman_multi_damage_small_10"	"Vi affronterò tutti!"
"DCG_VO_prowler_shaman_multi_damage_large_01"	"La giungla sarà la vostra tomba!"
"DCG_VO_prowler_shaman_multi_damage_large_02"	"Nessuno può fermarmi!"
"DCG_VO_prowler_shaman_multi_damage_large_03"	"La fortuna non mi abbandonerà!"
"DCG_VO_prowler_shaman_multi_damage_large_04"	"Affrontatemi, se ne avete il coraggio!"
"DCG_VO_prowler_shaman_multi_damage_large_05"	"Non avete abbastanza uomini per fermarci..."
"DCG_VO_prowler_shaman_multi_damage_large_06"	"Distruggiamoli tutti!"
"DCG_VO_prowler_shaman_multi_damage_large_07"	"Nessuno resterà in piedi!"
"DCG_VO_prowler_shaman_multi_damage_large_08"	"Lo scontro finisce adesso..."
"DCG_VO_prowler_shaman_multi_damage_large_09"	"Adesso vi mostro chi avete di fronte."
"DCG_VO_prowler_shaman_multi_damage_large_10"	"Ahahahah."
"DCG_VO_prowler_shaman_pleased_01"	"Bene."
"DCG_VO_prowler_shaman_pleased_02"	"Tutto procede secondo i piani."
"DCG_VO_prowler_shaman_pleased_03"	"Come speravamo..."
"DCG_VO_prowler_shaman_pleased_04"	"Che fortuna."
"DCG_VO_prowler_shaman_pleased_05"	"Che sollievo."
"DCG_VO_prowler_shaman_pleased_06"	"Sapevo che ce l'avremmo fatta."
"DCG_VO_prowler_shaman_pleased_07"	"È quasi finita."
"DCG_VO_prowler_shaman_pleased_08"	"Ma che fortuna."
"DCG_VO_prowler_shaman_pleased_09"	"Te l'avevo detto di avere fiducia."
"DCG_VO_prowler_shaman_pleased_10"	"E ora, cosa potrà mai fermarci?"
"DCG_VO_prowler_shaman_concerned_01"	"Preoccupante..."
"DCG_VO_prowler_shaman_concerned_02"	"È un problema."
"DCG_VO_prowler_shaman_concerned_03"	"Devo trovare una soluzione."
"DCG_VO_prowler_shaman_concerned_04"	"Non posso restare con le mani in mano."
"DCG_VO_prowler_shaman_concerned_05"	"Devo pensare in fretta..."
"DCG_VO_prowler_shaman_concerned_06"	"Dev'esserci una soluzione."
"DCG_VO_prowler_shaman_concerned_07"	"Se non trovo una soluzione, siamo tutti morti."
"DCG_VO_prowler_shaman_concerned_08"	"Il tempo sta per scadere."
"DCG_VO_prowler_shaman_concerned_09"	"Questo è l'incubo di ogni comandante..."
"DCG_VO_prowler_shaman_concerned_10"	"Non perderò la speranza."
"DCG_VO_prowler_shaman_angry_01"	"Come osi!"
"DCG_VO_prowler_shaman_angry_02"	"La pagherai!"
"DCG_VO_prowler_shaman_angry_03"	"Non ne uscirai in vita!"
"DCG_VO_prowler_shaman_angry_04"	"Ti spezzerò in due!"
"DCG_VO_prowler_shaman_angry_05"	"Non permetterò a questa farsa di continuare!"
"DCG_VO_prowler_shaman_angry_06"	"Questa storia finisce qui!"
"DCG_VO_prowler_shaman_angry_07"	"Mostrami di cosa sei capace!"
"DCG_VO_prowler_shaman_angry_08"	"La tua ambizione ti ucciderà."
"DCG_VO_prowler_shaman_angry_09"	"Hai esagerato."
"DCG_VO_prowler_shaman_angry_10"	"Quante possibilità pensi di avere contro di me?"
"DCG_VO_prowler_shaman_arrogant_01"	"Sono il terrore della giungla..."
"DCG_VO_prowler_shaman_arrogant_02"	"Sono il migliore tra la mia gente."
"DCG_VO_prowler_shaman_arrogant_03"	"C'è un motivo se la mia gente mi dà fiducia..."
"DCG_VO_prowler_shaman_arrogant_04"	"Arrenditi e non farci perdere tempo."
"DCG_VO_prowler_shaman_arrogant_05"	"Sono più forte di te."
"DCG_VO_prowler_shaman_arrogant_06"	"La tua preparazione è carente."
"DCG_VO_prowler_shaman_arrogant_07"	"Mi aspettavo di più da te..."
"DCG_VO_prowler_shaman_arrogant_08"	"Non sei degno di affrontarmi..."
"DCG_VO_prowler_shaman_arrogant_09"	"Pensavi di potermi sconfiggere? Ma per favore..."
"DCG_VO_prowler_shaman_arrogant_10"	"Mostratemi un avversario degno..."
"DCG_VO_prowler_shaman_enigmatic_01"	"Guadagnerò tempo."
"DCG_VO_prowler_shaman_enigmatic_02"	"Faccio quel che devo."
"DCG_VO_prowler_shaman_enigmatic_03"	"La foresta protegge i suoi abitanti."
"DCG_VO_prowler_shaman_enigmatic_04"	"Grande è il potere di chi ha fede."
"DCG_VO_prowler_shaman_enigmatic_05"	"Gli dei sono benevoli qui."
"DCG_VO_prowler_shaman_enigmatic_06"	"Siamo davvero benedetti."
"DCG_VO_prowler_shaman_enigmatic_07"	"Questo è un luogo pericoloso per i forestieri."
"DCG_VO_prowler_shaman_enigmatic_08"	"La giungla è fitta di misteri..."
"DCG_VO_prowler_shaman_enigmatic_09"	"Può cambiare le sorti dello scontro..."
"DCG_VO_prowler_shaman_enigmatic_10"	"Sono abituato ad essere sottovalutato."
"DCG_VO_prowler_shaman_death_01"	"<i>Urla</i>"
"DCG_VO_kobold_saboteur_intro"	"Ho voluto far parte della Cerchia di Diaspro dal primo momento in cui ne ho sentito parlare, ma a un gruppo come quello... non puoi chiedere di entrare, devono essere loro ad avvicinarti. Il che significa che devi farti un nome. Per sei mesi ho pedinato Brezzasolare. Sei mesi trascorsi a guardare quell'insulsa fatina che faceva le sue stupide cose da fata. Alla fine, ho elaborato un piano. Poi arrivò la Sorellanza del Velo ad uccidere Kwerthias e questo rovinò tutto. Certo, avrei potuto uccidere Brezzasolare, ma poi il merito sarebbe stato attribuito alla Sorellanza, quindi ho mandato tutto al diavolo e ho lasciato perdere."
"DCG_VO_kobold_saboteur_no_accident"	"A volte mi annoio. Quando succede, di solito uccido qualcuno."
"DCG_VO_kobold_saboteur_equip_generic_weapon_01"	"Posso mettermi all'opera."
"DCG_VO_kobold_saboteur_equip_generic_weapon_02"	"Uccidiamo qualcuno..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_03"	"Oh sì, questo farà fuori qualcuno..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_04"	"Lascia che ti mostri cosa so fare..."
"DCG_VO_kobold_saboteur_equip_generic_weapon_05"	"La Cerchia di Diaspro si accorgerà di me..."
"DCG_VO_kobold_saboteur_equip_generic_armor_01"	"Non posso farmi pagare se muori..."
"DCG_VO_kobold_saboteur_equip_generic_armor_02"	"Devo restare al sicuro..."
"DCG_VO_kobold_saboteur_equip_generic_armor_03"	"Ho molti nemici..."
"DCG_VO_kobold_saboteur_equip_generic_armor_04"	"Là fuori c'è un mondo pericoloso..."
"DCG_VO_kobold_saboteur_equip_generic_armor_05"	"Mi aspetto sempre che qualcuno mi attacchi..."
"DCG_VO_kobold_saboteur_equip_generic_accessory_01"	"Fantastico."
"DCG_VO_kobold_saboteur_equip_generic_accessory_02"	"Mi tornerà utile."
"DCG_VO_kobold_saboteur_equip_generic_accessory_03"	"Ne farò buon uso."
"DCG_VO_kobold_saboteur_equip_generic_accessory_04"	"Questo mi aiuterà."
"DCG_VO_kobold_saboteur_equip_generic_accessory_05"	"Grazie."
"DCG_VO_kobold_saboteur_kill_rival_01"	"Era finita prima ancora di cominciare..."
"DCG_VO_kobold_saboteur_kill_rival_02"	"Sono un professionista..."
"DCG_VO_kobold_saboteur_kill_rival_03"	"Adoro usare il pugnale..."
"DCG_VO_kobold_saboteur_kill_rival_04"	"Ogni volta diventa più facile..."
"DCG_VO_kobold_saboteur_kill_rival_05"	"Potrei andare avanti tutto il giorno..."
"DCG_VO_kobold_saboteur_kill_rival_06"	"È stata una bella giornata..."
"DCG_VO_kobold_saboteur_kill_rival_07"	"Mi dispiace..."
"DCG_VO_kobold_saboteur_kill_rival_08"	"Shhhhh."
"DCG_VO_kobold_saboteur_kill_rival_09"	"Almeno è stato veloce."
"DCG_VO_kobold_saboteur_kill_rival_10"	"Ho ucciso avversari migliori..."
"DCG_VO_kobold_saboteur_use_include_01"	"Ops."
"DCG_VO_kobold_saboteur_use_include_02"	"Non ti avevo visto..."
"DCG_VO_kobold_saboteur_use_include_03"	"Non sentirai nulla."
"DCG_VO_kobold_saboteur_unique_01"	"Ti ucciderò e mi farò un nome..."
"DCG_VO_kobold_saboteur_unique_02"	"Ascia... sei molto più grande di quanto pensassi..."
"DCG_VO_kobold_saboteur_unique_03"	"Cecchino, un giorno mi presti quell'arma?"
"DCG_VO_kobold_saboteur_unique_04"	"Senti, non sono un Smilzo, ma almeno sono basso. Spero valga qualcosa."
"DCG_VO_kobold_saboteur_unique_05"	"Ehi, Riparatore, mi offri un goccetto se taglio la gola a Mazzie?"
"DCG_VO_kobold_saboteur_unique_06"	"È da tanto che aspettavo questo momento..."
"DCG_VO_kobold_saboteur_unique_07"	"Ehi, Ascia, diventiamo amici. Ti prometto solennemente di non ucciderti nel sonno."
"DCG_VO_kobold_saboteur_unique_08"	"Sorla, riconosco che sei una donna che sa come ottenere quello che vuole."
"DCG_VO_kobold_saboteur_unique_09"	"Gli aiuti validi sono difficili da trovare."
"DCG_VO_kobold_saboteur_unique_10"	"Li conosco. Sono fantastici, quando decidono di mettersi veramente al lavoro."
"DCG_VO_kobold_saboteur_unique_11"	"Mi hai rubato Kwerthias!"
"DCG_VO_kobold_saboteur_unique_12"	"Dovevo uccidere io Kwerthias!"
"DCG_VO_kobold_saboteur_unique_12_alt"	"È colpa tua se Brezzasolare è ancora in vita!"
"DCG_VO_kobold_saboteur_unique_13"	"Immagino dovrò ucciderti per lasciare il segno..."
"DCG_VO_kobold_saboteur_unique_14"	"Com'è andata la missione a Revtel?"
"DCG_VO_kobold_saboteur_unique_15"	"Ehi, aiutami a uccidere Ascia e Goodkind è tutto tuo..."
"DCG_VO_kobold_saboteur_unique_16"	"Ora capisco perché le sorelle indossano sempre questa roba..."
"DCG_VO_kobold_saboteur_unique_17"	"È un onore uccidere assieme a voi, signore."
"DCG_VO_kobold_saboteur_unique_18"	"Adoro la serata delle ragazze..."
"DCG_VO_kobold_saboteur_unique_19"	"Così è troppo facile..."
"DCG_VO_kobold_saboteur_unique_20"	"In pratica, ci stanno lasciando distruggere quest'affare..."
"DCG_VO_kobold_saboteur_healed_01"	"Ahhhhh."
"DCG_VO_kobold_saboteur_healed_02"	"Mi sento meglio."
"DCG_VO_kobold_saboteur_healed_03"	"Ora posso tagliare qualche gola..."
"DCG_VO_kobold_saboteur_healed_04"	"È ora di giocare sporco."
"DCG_VO_kobold_saboteur_healed_05"	"È così che ci si prende cura del talento..."
"DCG_VO_kobold_saboteur_taunt_generic_01"	"Adoro questa parte..."
"DCG_VO_kobold_saboteur_taunt_generic_02"	"Questa gente non si ucciderà da sola..."
"DCG_VO_kobold_saboteur_taunt_generic_03"	"Possiamo distruggere la torre!"
"DCG_VO_kobold_saboteur_taunt_generic_04"	"Uccideremo chiunque si metta di mezzo!"
"DCG_VO_kobold_saboteur_taunt_generic_05"	"È il nostro momento!"
"DCG_VO_kobold_saboteur_taunt_generic_06"	"Non perderemo questa occasione!"
"DCG_VO_kobold_saboteur_taunt_generic_07"	"Prenderemo tutto quel che vogliamo..."
"DCG_VO_kobold_saboteur_taunt_generic_08"	"La vittoria è vicina!"
"DCG_VO_kobold_saboteur_taunt_generic_09"	"Possiamo vincere!"
"DCG_VO_kobold_saboteur_taunt_generic_10"	"Distruggete tutto!"
"DCG_VO_kobold_saboteur_potential_kill_01"	"Non mi scappi."
"DCG_VO_kobold_saboteur_potential_kill_02"	"Non hai scampo."
"DCG_VO_kobold_saboteur_potential_kill_03"	"Per te è finita."
"DCG_VO_kobold_saboteur_potential_kill_04"	"Ahahahah."
"DCG_VO_kobold_saboteur_potential_kill_05"	"Troppo facile."
"DCG_VO_kobold_saboteur_potential_save_01"	"Non sarà così facile..."
"DCG_VO_kobold_saboteur_potential_save_02"	"Ho una mente più fine di quanto pensi..."
"DCG_VO_kobold_saboteur_potential_save_03"	"Me l'aspettavo..."
"DCG_VO_kobold_saboteur_potential_save_04"	"Ho sempre un piano di fuga..."
"DCG_VO_kobold_saboteur_potential_save_05"	"Così vicino, eppure così lontano..."
"DCG_VO_kobold_saboteur_permanent_armor_01"	"Sarà un lavoro duro."
"DCG_VO_kobold_saboteur_permanent_armor_02"	"Potrebbe finire molto male..."
"DCG_VO_kobold_saboteur_permanent_armor_03"	"Devo pensare a me stesso."
"DCG_VO_kobold_saboteur_permanent_armor_04"	"Devo rimanere in vita."
"DCG_VO_kobold_saboteur_permanent_armor_05"	"C'è sempre qualcuno che tenta di uccidermi..."
"DCG_VO_kobold_saboteur_permanent_attack_01"	"È il momento di affilare i coltelli..."
"DCG_VO_kobold_saboteur_permanent_attack_02"	"Con la pratica si giunge alla perfezione..."
"DCG_VO_kobold_saboteur_permanent_attack_03"	"Quei libri di anatomia sono finalmente utili..."
"DCG_VO_kobold_saboteur_permanent_attack_04"	"Troverò il loro punto debole..."
"DCG_VO_kobold_saboteur_permanent_attack_05"	"Non vedo l'ora di tagliuzzare qualcuno..."
"DCG_VO_kobold_saboteur_permanent_health_01"	"Non gli permetterò di trattarmi così..."
"DCG_VO_kobold_saboteur_permanent_health_02"	"Mi sento più forte..."
"DCG_VO_kobold_saboteur_permanent_health_03"	"Posso subire altri attacchi..."
"DCG_VO_kobold_saboteur_permanent_health_04"	"Ho partecipato a più di uno scontro..."
"DCG_VO_kobold_saboteur_permanent_health_05"	"Non morirò qui!"
"DCG_VO_kobold_saboteur_cast_spell_01"	"Adoro questa parte."
"DCG_VO_kobold_saboteur_cast_spell_02"	"Mamma, come amo il mio lavoro."
"DCG_VO_kobold_saboteur_cast_spell_03"	"Non mi stancherò mai."
"DCG_VO_kobold_saboteur_cast_spell_04"	"Dovresti vedere la tua faccia!"
"DCG_VO_kobold_saboteur_cast_spell_05"	"Te l'aspettavi?"
"DCG_VO_kobold_saboteur_cast_spell_06"	"Questa non te l'aspettavi..."
"DCG_VO_kobold_saboteur_cast_spell_07"	"Ecco qualcosa di speciale su cui stavo lavorando..."
"DCG_VO_kobold_saboteur_cast_spell_08"	"Adoro le brutte sorprese..."
"DCG_VO_kobold_saboteur_cast_spell_09"	"Bisogna pianificare tutto..."
"DCG_VO_kobold_saboteur_cast_spell_10"	"È un bene avere amici a Revtel..."
"DCG_VO_kobold_saboteur_buff_ally_01"	"Ecco a te!"
"DCG_VO_kobold_saboteur_buff_ally_02"	"Fai come faccio io."
"DCG_VO_kobold_saboteur_buff_ally_03"	"Mettiamoci al lavoro..."
"DCG_VO_kobold_saboteur_buff_ally_04"	"Iniziamo a uccidere?"
"DCG_VO_kobold_saboteur_buff_ally_05"	"Avrò bisogno del tuo aiuto."
"DCG_VO_kobold_saboteur_buff_ally_06"	"Guardami le spalle e io ricambierò il favore."
"DCG_VO_kobold_saboteur_buff_ally_07"	"Bella schiena. Ti prometto che non la pugnalerò."
"DCG_VO_kobold_saboteur_buff_ally_08"	"Ecco come ci si sente ad avere degli amici..."
"DCG_VO_kobold_saboteur_buff_ally_09"	"Ecco a te!"
"DCG_VO_kobold_saboteur_buff_ally_10"	"Credo che possa esserti utile."
"DCG_VO_kobold_saboteur_debuff_enemy_01"	"Innanzitutto, ti indebolisco un po'..."
"DCG_VO_kobold_saboteur_debuff_enemy_02"	"Con te me la prenderò comoda..."
"DCG_VO_kobold_saboteur_debuff_enemy_03"	"Non preoccuparti, prima o poi ti ucciderò..."
"DCG_VO_kobold_saboteur_debuff_enemy_04"	"Divertiamoci un po'..."
"DCG_VO_kobold_saboteur_debuff_enemy_05"	"Non credevi di poter sopravvivere, vero?"
"DCG_VO_kobold_saboteur_debuff_enemy_06"	"Morirai quando lo decido io."
"DCG_VO_kobold_saboteur_debuff_enemy_07"	"Pensavo di trovare un avversario più forte..."
"DCG_VO_kobold_saboteur_debuff_enemy_08"	"Tutto fumo e niente arrosto. Che delusione."
"DCG_VO_kobold_saboteur_debuff_enemy_09"	"Non pensavo che sarebbe stato così facile..."
"DCG_VO_kobold_saboteur_debuff_enemy_10"	"Sei patetico."
"DCG_VO_kobold_saboteur_single_target_damage_01"	"È ora di divertirsi. E per divertirsi intendo uccidere."
"DCG_VO_kobold_saboteur_single_target_damage_02"	"Osserva una professionista al lavoro."
"DCG_VO_kobold_saboteur_single_target_damage_03"	"Spero che la Cerchia di Diaspro stesse osservando."
"DCG_VO_kobold_saboteur_single_target_damage_04"	"Goditi il tuo bel sorriso purpureo."
"DCG_VO_kobold_saboteur_single_target_damage_05"	"Non ci vorrà molto."
"DCG_VO_kobold_saboteur_single_target_damage_06"	"Lasciami fare il mio lavoro."
"DCG_VO_kobold_saboteur_single_target_damage_07"	"Sanguinerai."
"DCG_VO_kobold_saboteur_single_target_damage_08"	"È ora di morire!"
"DCG_VO_kobold_saboteur_single_target_damage_09"	"Ti uccideròòòò!"
"DCG_VO_kobold_saboteur_single_target_damage_10"	"Non sentirai praticamente nulla."
"DCG_VO_kobold_saboteur_multi_damage_small_01"	"Lasciate i corpi, prendete l'oro..."
"DCG_VO_kobold_saboteur_multi_damage_small_02"	"Morirete tutti..."
"DCG_VO_kobold_saboteur_multi_damage_small_03"	"Posso occuparmene io."
"DCG_VO_kobold_saboteur_multi_damage_small_04"	"Potrebbe finire molto male."
"DCG_VO_kobold_saboteur_multi_damage_small_05"	"Fossi in voi, scapperei."
"DCG_VO_kobold_saboteur_multi_damage_small_06"	"Pronti a giocare?"
"DCG_VO_kobold_saboteur_multi_damage_small_07"	"Chi vuole divertirsi un po'?"
"DCG_VO_kobold_saboteur_multi_damage_small_08"	"Chi vuole morire per primo?"
"DCG_VO_kobold_saboteur_multi_damage_small_09"	"Non temete, ce n'è per tutti..."
"DCG_VO_kobold_saboteur_multi_damage_small_10"	"Le ragazze adorano i cumuli di cadaveri..."
"DCG_VO_kobold_saboteur_multi_damage_large_01"	"Boom."
"DCG_VO_kobold_saboteur_multi_damage_large_02"	"Bang!"
"DCG_VO_kobold_saboteur_multi_damage_large_03"	"Siete tutti morti!"
"DCG_VO_kobold_saboteur_multi_damage_large_04"	"Vi ucciderò tutti!"
"DCG_VO_kobold_saboteur_multi_damage_large_05"	"Semplicemente perfetto..."
"DCG_VO_kobold_saboteur_multi_damage_large_06"	"Meglio di così non si può."
"DCG_VO_kobold_saboteur_multi_damage_large_07"	"Chiedo scusa per il caos."
"DCG_VO_kobold_saboteur_multi_damage_large_08"	"Adoro i lavori sporchi."
"DCG_VO_kobold_saboteur_multi_damage_large_09"	"Nascondersi? Impossibile!"
"DCG_VO_kobold_saboteur_multi_damage_large_10"	"Non potete sfuggirmi!"
"DCG_VO_kobold_saboteur_pleased_01"	"Beh, è stata una bella giornata..."
"DCG_VO_kobold_saboteur_pleased_02"	"La vita è bella."
"DCG_VO_kobold_saboteur_pleased_03"	"È così divertente."
"DCG_VO_kobold_saboteur_pleased_04"	"Mi sto divertendo un sacco, e tu?"
"DCG_VO_kobold_saboteur_pleased_05"	"Sta andando benissimo..."
"DCG_VO_kobold_saboteur_pleased_06"	"La Cerchia di Diaspro sarà qui tra un attimo..."
"DCG_VO_kobold_saboteur_pleased_07"	"Se questo scontro non impressiona la Cerchia di Diaspro, non so più cosa fare."
"DCG_VO_kobold_saboteur_pleased_08"	"Quanto adoro i soldi..."
"DCG_VO_kobold_saboteur_pleased_09"	"Facciamo un po' di soldi..."
"DCG_VO_kobold_saboteur_pleased_10"	"Ci serve dell'oro."
"DCG_VO_kobold_saboteur_concerned_01"	"Non me lo sarei mai aspettato..."
"DCG_VO_kobold_saboteur_concerned_02"	"Qui mi sento un po' vulnerabile..."
"DCG_VO_kobold_saboteur_concerned_03"	"Ehm... c'è nessuno?"
"DCG_VO_kobold_saboteur_concerned_04"	"Non va bene."
"DCG_VO_kobold_saboteur_concerned_05"	"Siamo nei guai."
"DCG_VO_kobold_saboteur_concerned_06"	"Devo pensare in fretta o per me è finita."
"DCG_VO_kobold_saboteur_concerned_07"	"Mi uccideranno."
"DCG_VO_kobold_saboteur_concerned_08"	"Non posso farmi catturare!"
"DCG_VO_kobold_saboteur_concerned_09"	"E adesso cosa faccio?"
"DCG_VO_kobold_saboteur_concerned_10"	"Come ne esco?"
"DCG_VO_kobold_saboteur_angry_01"	"Pensi che non possa ucciderti?"
"DCG_VO_kobold_saboteur_angry_02"	"Mi divertirò a vederti sanguinare."
"DCG_VO_kobold_saboteur_angry_03"	"Morirai qui..."
"DCG_VO_kobold_saboteur_angry_04"	"Non troveranno mai il tuo corpo."
"DCG_VO_kobold_saboteur_angry_05"	"Non mi limiterò a uccidere te. Eliminerò anche tutti i tuoi cari."
"DCG_VO_kobold_saboteur_angry_06"	"Non ho bisogno di ucciderti, ti distruggerai da solo."
"DCG_VO_kobold_saboteur_angry_07"	"Non mi serve un coltello per ucciderti."
"DCG_VO_kobold_saboteur_angry_08"	"Sarà molto doloroso."
"DCG_VO_kobold_saboteur_angry_09"	"Hai fatto una pessima mossa."
"DCG_VO_kobold_saboteur_angry_10"	"Ciao ciao."
"DCG_VO_kobold_saboteur_arrogant_01"	"Sono meglio di tutti voi!"
"DCG_VO_kobold_saboteur_arrogant_02"	"Farò tutto il necessario..."
"DCG_VO_kobold_saboteur_arrogant_03"	"Farò di tutto per dimostrare che sono il migliore."
"DCG_VO_kobold_saboteur_arrogant_04"	"Sai che cosa posso farti, vero?"
"DCG_VO_kobold_saboteur_arrogant_05"	"Non c'è nessuno che io non possa uccidere."
"DCG_VO_kobold_saboteur_arrogant_06"	"Spettro Assassino non è male, ma io sono meglio."
"DCG_VO_kobold_saboteur_arrogant_07"	"Lascerò il segno."
"DCG_VO_kobold_saboteur_arrogant_08"	"La gente si ricorderà di me."
"DCG_VO_kobold_saboteur_arrogant_09"	"Non scomparirò nell'oscurità."
"DCG_VO_kobold_saboteur_arrogant_10"	"Vuoi una dimostrazione di quello che so fare?"
"DCG_VO_kobold_saboteur_enigmatic_01"	"Proviamo qualche nuovo giocattolo..."
"DCG_VO_kobold_saboteur_enigmatic_02"	"Ecco una cosa a cui ho lavorato di recente..."
"DCG_VO_kobold_saboteur_enigmatic_03"	"Dovrebbe facilitarmi il lavoro..."
